id;chemicalSymbol;label;PCOP;value_type;famille
VL;C5H10_1p;1 pentène;89;value;alkene
VR;C9H12_123t;1,2,3-Trimethylbenzene;125;value;aromatic
VS;C9H12_124t;1,2,4-Trimethylbenzene;127;value;aromatic
H9;C2H4Cl2;1,2-dichloroethane;91;value;alkane
H8;C2H2Cl2;1,2-Dichloroéthylène;117;mean;alkene
VT;C9H12_135t;1,3,5-Trimethylbenzene;141;value;aromatic
R4;C6H4Cl2_12;1,4-Dichlorobenzene;92;mean;aromatic
V0;C4H6_13b;1-3 Butadiene;120;value;alkene
V1;C4H8_1b;1-butène;108;value;alkene
VE;C6H12_1h;1-Hexene;20;value;alkene
Qa;1ME-C11H10;1-ME-Naphtalène;42;mean;aromatic
VG;C8H18_tmp;2,2,4-Trimethylpentane;16;mean;alkane
WB;C6H14_22d;2,2-diméthylbutane;13;value;alkane
O7;C7H16;2.4-diméthylpentane;16;mean;alkane
OC;23DME-C6H7;2-3-DIME-pentane;16;mean;alkane
O3;C6H14_23d;2-3-dimethylbutane;20;value;alkane
QB;2ME-C11H10;2-ME-Naphtalène;92;mean;aromatic
WC;C6H14_2mp;2-ME-Pentane;26;value;alkane
WD;3-ME_C6H14;3-ME-pentane;25;value;alkane
QC;C12H10;Acenaphtène;92;mean;aromatic
Qe;C12H8;Acenaphthylène;92;mean;aromatic
V3;C2H2;acétylène;4;value;alkine
QF;C14H10_an;Anthracène;92;mean;aromatic
V4;C6H6;Benzene;1;value;aromatic
P8;C18H12_baa;Benzo(a)Anthracène;92;mean;aromatic
P6;C20H12_bap;Benzo(a)Pyrène;92;mean;aromatic
QX;C20H12_bbf;Benzo(b)Fluoranthène;92;mean;aromatic
QK;C20H12_bbf;Benzo(b)fluoranthène ph gazeus;92;mean;aromatic
P7;C20H12_bep;benzo(e)pyrene particulaire;92;mean;aromatic
PA;C22H12_bp;Benzo(g,h,i)Pérylène;92;mean;aromatic
PD;C20H12_bjf;Benzo(j)Fluoranthène;92;mean;aromatic
QY;C20H12_bkf;Benzo(k)Fluoranthène;92;mean;aromatic
0N;C2H3Cl;Chlorure de vinyle;117;mean;alkene
QW;C18H12_chr;Chrysène;92;mean;aromatic
V7;C4H8_c2b;cis-2-butène;165;value;alkene
WI;C5H10_c2p;cis-2-pentène;145;value;alkene
OA;C6H12_ch;Cyclohexane;20;value;alkane
Ut;C5H10_cp;cyclopentane;16;value;alkane
P9;C22H14_dba;Dibenzo(a,h)Anthracène;92;mean;aromatic
V8;C2H6;éthane;3;value;alkane
VA;C8H10;Ethylbenzene;36;value;aromatic
V9;C2H4;éthylène;100;value;alkene
QG;C16H10;Fluoranthène phase gazeuse;92;mean;aromatic
QD;C13H10;Fluorène;92;mean;aromatic
VB;HCHO;FORMALDEHYDE;78;value;oxygenated
QZ;C22H12_ip;Indeno(1,2,3,c,d)Pyrène;92;mean;aromatic
V5;C4H10_ib;isobutane;20;value;alkane
VI;C5H12_ip;isopentane;21;value;alkane
VF;C5H8;Isoprene;173;value;alkene
W6;C7H14;Methylcyclohexane;16;mean ;alkane
W7;C6H12_mcp;methylcyclopentane;16;mean;alkane
VU;C8H10_mp;M-P-xylene;84;value/mean;aromatic
QA;C10H8;Naphtalène;92;mean;aromatic
V6;C4H10_nb;n-butane;18;value;alkane
Oi;C12H26;n-dodecane;16;mean;alkane
VC;C7H16_nh;n-heptane;15;value;alkane
VD;C6H14n;n-hexane;20;value;alkane
VX;C9H20_nn;n-Nonane;11;value;alkane
VH;C8H18_no;n-Octane;13;value;alkane
VK;C5H12_np;n-pentane;22;value;alkane
Vd;C9H12_npb;n-Propylbenzene;26;value;aromatic
VV;C8H10_ox;O-xylene;79;value;aromatic
QE;C14H10_phe;Phénanthrène;92;mean;aromatic
VN;C3H8;Propane;9;value;alkane
VP;C3H6;Propène;134;value;alkene
QH;C16H10;Pyrène phase gazeuse;92;mean;aromatic
R2;C8H8;Styrène;7;value;alkenes
H4;C2Cl4;Tetrachloroethène;1;value;halocarbons
VQ;C7H8;Toluene;33;value;aromatic
V2;C4H8_t2b;trans-2-butène;173;value;alkenes
WH;C5H10_t2p;trans-2-pentène;145;value;alkenes
H3;C2HCl3;Trichloroethène;14;value;halocarbons
