,id,chemicalSymbol,label
0,01,SO2,Dioxyde de soufre
1,02,NO,Monoxyde d'azote
2,03,NO2,Dioxyde d'azote
3,04,CO,Monoxyde de carbone
4,05,SH,Sulfure d Hydrogène
5,06,HFl,Fluorure d hydrogene
6,07,HCl,Chlorure d hydrogene
7,08,O3,Ozone
8,0N,C2H3Cl,Chlorure de vinyle
9,10,AF,Acidite forte
10,11,FN,Fumees noires
11,12,NOX,Oxydes d azote
12,14,S in PM10,Soufre in PM10
13,15,HCT,Hydrocarbures Totaux
14,16,HCM,Hydrocarbures Methaniques
15,17,CO2,Dioxyde de carbone
16,19,Pb in PM10,Plomb in PM10
17,1A,STAB,STABILITE BAM
18,1B,REF,MASSE REF BAM
19,20,HCNM,Hydrocarbures non methaniques
20,21,NH3,Ammoniac
21,22,PS,Poussieres en suspension
22,23,P.S,Poussieres
23,24,PM10,PM10
24,25,Alpha,Activite alpha artificiel
25,26,Beta, Activite beta artificiel
26,28,Radon,Activite radon
27,2t,Cl in PM10,Chlore in PM10
28,2y,K in PM10,Potassium in PM10
29,36,N2O,Oxydes nitreux
30,39,PM2.5,PM2.5
31,3B,Au in PM10,Or in PM10
32,3C,Bi in PM10,Bismuth in PM10
33,3E,Co in PM10,Cobalt in PM10
34,3J,Ga in PM10,Gallium in PM10
35,3K,Ge in PM10,Germanium in PM10
36,3O,In in PM10,Indium in PM10
37,3T,Mo in PM10,Molybdene in PM10
38,3U,Nb in PM10,Niobium in PM10
39,3W,Pd in PM10,Palladium in PM10
40,3Y,Pt in PM10,Platine in PM10
41,3Z,Rb in PM10,Rubidium in PM10
42,3a,Ag in PM10,Argent in PM10
43,4D,Sb in PM10,Antimoine in PM10
44,4J,Ti in PM10,Titane in PM10
45,4K,Tl in PM10,Thallium in PM10
46,4O,Y in PM10,Yttrium in PM10
47,4Q,Zr in PM10,Zirconium in PM10
48,5,H2S,Sulfure d'hydrogène
49,50,PH,pH
50,51,VV,Vitesse du vent
51,52,DV,Direction du vent
52,53,PA,Pression Atmospherique
53,54,TC,Temperature
54,55,HA,Humidite absolue
55,57,RS,Rayonnement Solaire Direct
56,58,HR,Humidite relative
57,59,tps soleil,Duree ensoleillement
58,5A,VISIBILITE,VISIBILITE
59,5B,NEBULOSITE,NEBULOSITE
60,60,Precipita,precipitation
61,61,UV,Composante U Anemometre
62,62,VVEW,Composant Est Ouest Anemometre
63,63,CVerticale,composante verticale
64,64,VOL.AIR ,VOLUME AIR PRELEVE
65,65,CVH,Comptage Vehicules
66,66,bruit,bruit
67,68,PM1,POUSSIERES PM1
68,69,Na,Sodium
69,70,BR,Bilan radiatif
70,74,ray_glob,Rayonnement global
71,79,Sn in PM10,Etain in PM10
72,80,As in PM10,Arsenic in PM10
73,82,Cd in PM10,Cadmium in PM10
74,83,Cr in PM10,Chrome in PM10
75,84,Cu in PM10,Cuivre in PM10
76,85,Hg in PM10,Mercure in PM10
77,86,Fe in PM10,Fer in PM10
78,87,Ni in PM10,Nickel in PM10
79,88,Zn in PM10,Zinc in PM10
80,90,Mn in PM10,Manganese in PM10
81,91,Al in PM10,Aluminium in PM10
82,92,V in PM10,Vanadium in PM10
83,93,Ba in PM10,Baryum in PM10
84,94,Se in PM10,Selenium in PM10
85,95,Te,Tellure
86,96,Si in PM10,Silicium in PM10
87,97,Hg_gaz,Mercure élémentaire gazeux
88,9E,PM4,PM4
89,9F,Ag in PM1,Argent in PM1
90,9G,Al in PM1,Aluminium in PM1
91,9H,NBR,Nombre hors CPC
92,9I,As in PM1,Arsenic in PM1
93,9J,Br in PM10,Brome in PM10
94,9K,Rb in PM1,Rubidium in PM1
95,9P,Ba in PM1,Baryum in PM1
96,9Q,Bi in PM1,Bismuth in PM1
97,9R,Br in PM1,Brome in PM1
98,9S,Ca in PM1,Calcium in PM1
99,9T,Cd in PM1,Cadmium in PM1
100,9U,Cl in PM1,Chlore in PM1
101,9V,Co in PM1,Cobalt in PM1
102,9W,Cr in PM1,Chrome in PM
103,9X,Cu in PM1,Cuivre in PM1
104,9Y,Fe in PM1,Fer in PM1
105,9a,Hg in PM1,Mercure in PM1
106,9b,In in PM1,Indium in PM1
107,9c,K in PM1,Potassium in PM1
108,9d,Mn in PM1,Manganese in PM1
109,9e,Ni in PM1,Nickel in PM1
110,9f,P in PM1,Phosphore in PM1
111,9g,Pb in PM1,Plomb in PM1
112,9h,S in PM1,Soufre in PM1
113,9i,Sb in PM1,Antimoine in PM1
114,9p,Se in PM1,Selenium in PM1
115,9q,Si in PM1,Silicium in PM1
116,9r,Sn in PM1,Etain in PM1
117,9s,Ti in PM1,Titane in PM1
118,9t,Tl in PM1,Thallium in PM1
119,9u,V in PM1,Vanadium in PM1
120,9v,Zn in PM1,Zinc in PM1
121,9w,Ga in PM1,Gallium in PM1
122,9x,Ge in PM1,Germanium in PM1
123,9y,Y in PM1,Yttrium in PM1
124,A0,Zr in PM1,Zirconium in PM1
125,A8,Nb in PM1,Niobium in PM1
126,A9,Mo in PM1,Molybdene in PM1
127,AP,Pd in PM1,Palladium in PM1
128,AQ,Pt in PM1,Platine in PM1
129,AR,Au in PM1,Or in PM1
130,B2,Ca in PM10,Calcium in PM10
131,BC,BC,Battery Charge
132,CT,COT,Carbonne Organique
133,DE,DELTA,DELTA
134,DR,Droplet,Droplet size
135,E1,PM10EC,Ecart calcule PM10
136,E2,PM2.5EC,Ecart calcule PM2.5
137,F1,PM10FV,Fraction volatile PM10
138,F2,PM2.5FV,Fraction volatile PM2.5
139,G1,eBC370,Black Carbon 370 nm
140,G2,eBC470,Black Carbon 470 nm
141,G3,eBC525,Black Carbon 525 nm
142,G4,eBC590,Black Carbon 590 nm
143,G5,eBC660,Black Carbon 660 nm
144,G6,eBC880,Black Carbon 880 nm
145,G7,eBC940,Black Carbon 940 nm
146,G8,BCwb,Contribution Comb. Biomasse
147,G9,k6,Coef de Compensation a 880 nm
148,GA,eqBCWB,Conc eqBC issu de wb (AE33)
149,GB,eqBCFF,Conc eqBC issu de FF (AE33)
150,H3,C2HCl3,Trichloroethène
151,H4,C2Cl4,Tetrachloroethène
152,H8,C2H2Cl2,"1,2-Dichloroéthylène"
153,H9,C2H4Cl2,"1,2-dichloroethane"
154,I1,Org,Conc Matière Organique PM1
155,I2,SO4,Conc Sulfate PM1
156,I3,NO3,Conc Nitrates PM1
157,I4,NH4,Conc Ammonium PM1
158,I5,Chl,Conc Chlore PM1
159,I6,CE,Efficacité collect MiddleBrook
160,I7,Levo,Levoglucosan ACSM
161,I8,mz60,Masse 60 PM1
162,I9,mz43,Masse 43 PM1
163,IA,mz44,Masse 44 PM1
164,IB,mz55,Masse 55 PM1
165,IC,mz57,Masse 57 PM1
166,MT,MT,Mesure Technique
167,N1,PM10FNV,Fraction non volatile PM10
168,N2,PM2.5FNV,Fraction non volatile PM2.5
169,O2,O2,Oxygene
170,O3,C6H14_23d,2-3-dimethylbutane
171,O7,C7H16,2.4-diméthylpentane
172,OA,C6H12_ch,Cyclohexane
173,OC,C6H7_23DME,2-3-DIME-pentane
174,OO,ST,Soufre Total
175,Oi,C12H26,n-dodecane
176,P2,BaA_g,benzo(a)anthracene pha gazeuze
177,P6,C20H12_bap,Benzo(a)Pyrène
178,P7,C20H12_bep,benzo(e)pyrene particulaire
179,P8,C18H12_baa,Benzo(a)Anthracène
180,P9,C22H14_dba,"Dibenzo(a,h)Anthracène"
181,PA,C22H12_bp,"Benzo(g,h,i)Pérylène"
182,PD,C20H12_bjf,Benzo(j)Fluoranthène
183,PR,PREVI,Prévision
184,QA,C10H8,Naphtalène
185,QB,2ME-C11H10,2-ME-Naphtalène
186,QC,C12H10,Acenaphtène
187,QD,C13H10,Fluorène
188,QE,C14H10_phe,Phénanthrène
189,QF,C14H10_an,Anthracène
190,QG,C16H10,Fluoranthène phase gazeuse
191,QH,C16H10,Pyrène phase gazeuse
192,QK,C20H12_bbf,Benzo(b)fluoranthène ph gazeus
193,QR,PHE,Phénanthrène
194,QS,ANT,Anthracène
195,QT,FL,Fluoranthène
196,QU,PY,Pyrène
197,QW,C18H12_chr,Chrysène
198,QX,C20H12_bbf,Benzo(b)Fluoranthène
199,QY,C20H12_bkf,Benzo(k)Fluoranthène
200,QZ,C22H12_ip,"Indeno(1,2,3,c,d)Pyrène"
201,Qa,1ME-C11H10,1-ME-Naphtalène
202,Qe,C12H8,Acenaphthylène
203,R2,C8H8,Styrène
204,R4,C6H4Cl2_12,"1,4-Dichlorobenzene"
205,S0,State,Etat
206,S6,O3-NO2,O3-NO2
207,S7,H2S-CH4S,H2S-CH4S
208,SA,%,Disponibilité
209,SG,Gas Pump,Gas pump set point
210,SN,Number,Nombre
211,SS,Stop Time,Temps d arrêt
212,ST,Time,Temps
213,SV,TVGN,TGVN
214,SW,Work Time,Temps de fonctionnement
215,T1,NBR_CPC,Nombre CPC
216,T2,T2S,T2S
217,T3,Nb PM 10nm,Nb PM entre 10nm et 1µm
218,Ui,Uin,Uin 6488
219,Uo,Uout,Uout 6487
220,Ut,C5H10_cp,cyclopentane
221,V0,C4H6_13b,1-3 Butadiene
222,V1,C4H8_1b,1-butène
223,V2,C4H8_t2b,trans-2-butène
224,V3,C2H2,Acétylène
225,V4,C6H6,Benzene
226,V5,C4H10_ib,isobutane
227,V6,C4H10_nb,n-butane
228,V7,C4H8_c2b,cis-2-butène
229,V8,C2H6,éthane
230,V9,C2H4,éthylène
231,VA,C8H10,Ethylbenzene
232,VB,HCHO,FORMALDEHYDE
233,VC,C7H16_nh,n-heptane
234,VD,C6H14n,n-hexane
235,VE,C6H12_1h,1-Hexene
236,VF,C5H8,Isoprene
237,VG,C8H18_tmp,"2,2,4-Trimethylpentane"
238,VH,C8H18_no,n-Octane
239,VI,C5H12_ip,isopentane
240,VK,C5H12_np,n-pentane
241,VL,C5H10_1p,1 pentène
242,VN,C3H8,Propane
243,VP,C3H6,Propène
244,VQ,C7H8,Toluene
245,VR,C9H12_123t,"1,2,3-Trimethylbenzene"
246,VS,C9H12_124t,"1,2,4-Trimethylbenzene"
247,VT,C9H12_135t,"1,3,5-Trimethylbenzene"
248,VU,C8H10_mp,M-P-xylene
249,VV,C8H10_ox,O-xylene
250,VX,C9H20_nn,n-Nonane
251,Vd,C9H12_npb,n-Propylbenzene
252,W6,C7H14,Methylcyclohexane
253,W7,C6H12_mcp,methylcyclopentane
254,WB,C6H14_22d,"2,2-diméthylbutane"
255,WC,C6H14_2mp,2-ME-Pentane
256,WD,C6H14_3-ME,3-ME-pentane
257,WH,C5H10_t2p,trans-2-pentène
258,WI,C5H10_c2p,cis-2-pentène
259,Z4,charge fil,charge filtre poussieres
260,ZC,DEBIT,DEBIT ANALYSEUR
261,ZD,MT ACSM,Mesure Technique ACSM
262,Za,Ch1 3031,20 à 30 nm 3031
263,Zb,Ch2 3031,30 à 50 nm 3031
264,Zc,Ch3 3031,50 à 70 nm 3031
265,Zd,Ch4 3031,70 à 100 nm 3031
266,Ze,Ch5 3031,100 à 200 nm 3031
267,Zf,Ch6 3031,200 à 1000 nm 3031
268,vl,varlim,valeur limite variable
